image,nr of contours,time to enumerate contours
03_12_flight-covering,18,0.0010013580322265625
blue_surround,2,0.0
blue_surround_warp,7,0.0
blue_surround_warp2,6,0.0
dartboard,7,0.0
dartboard_kastchen,226,0.0029854774475097656
dartboard_random2,689,0.0070149898529052734
delaney_board-tiny,92,0.002016782760620117
delaney_board_bigger,71,0.0010013580322265625
DSC_0030,27,0.0009987354278564453
DSC_0035,87,0.0020034313201904297
DSC_0307,35,0.0010044574737548828
green_background,5,0.0
green_surround,33,0.0010380744934082031
green_surround_front,1,0.0
IMG_1081,20,0.0010020732879638672
IMG_4259,33,0.0010135173797607422
poor_lighting1,28,0.0
random_board,625,0.0030214786529541016
random_setup1,256,0.0020008087158203125
red_surround,3,0.001009225845336914
red_surround_warp,32,0.0010099411010742188
surround_dark_outdoor,237,0.0020046234130859375
surround_gray,150,0.0020203590393066406
surround_mean_green,1,0.0009932518005371094
surround_noLed_noisy,108,0.001995086669921875
surround_orange,20,0.0
surround_red_noncenter,2,0.0
surround_red_poor_lighting,8,0.0
surround_white_noLED,18,0.0009989738464355469
surround_wood_outdoor,188,0.0020112991333007812
testboard,26,0.0009889602661132812
turquese_surrond_noisy,39,0.000997304916381836
wtf_board,242,0.004005908966064453
yellowish-board,9,0.0010094642639160156
